wtj,M_L,D_L,D_S,tE,thetaE,piE,piEN,piEE,mu_rel,muSl,muSb,i_L,iS,iL,fREM
0.3612689,0.004065854,7609,7877,0.9345283,0.01218747,0.368069,-0.3588669,0.08178802,4.763336,-3.45833,1.90929,99.0,8,8,0
0.4366578,0.2786137,7790,7991,3.074977,0.08562106,0.03773511,-0.03773166,-0.0005100879,10.17019,-7.73351,1.87787,99.0,8,8,0
0.4169149,0.1341573,7311,7969,4.395819,0.1110275,0.1016211,0.0961392,0.03292569,9.225312,-12.2021,-2.66173,99.0,8,8,0
0.1816354,0.6114945,6824,7216,8.729846,0.1990827,0.03997684,-0.01822972,0.03557843,8.329465,-5.9589,5.97991,99.0,8,8,0
0.3286485,0.4415359,7425,7836,9.41355,0.1592842,0.04429698,0.01455364,0.04183795,6.180297,-8.84679,6.19604,99.0,8,8,0
0.1923998,0.02702123,6058,7485,3.576632,0.08321421,0.3781465,0.3781258,-0.003952588,8.497936,-8.67657,-2.22751,99.0,8,8,0
0.1722933,0.3333495,6974,7393,8.577897,0.1485069,0.05470339,0.05467789,0.001670054,6.323477,-5.6047,-0.761405,99.0,8,8,0
0.3444618,0.8529216,7450,7865,17.36008,0.2216305,0.03190715,0.02890649,-0.01350856,4.663029,-9.2822,-6.1151,99.0,8,8,0
0.3790251,0.0614424,7834,7915,0.9886834,0.02545208,0.05086542,0.01150199,0.04954791,9.402779,-11.7836,6.56182,99.0,8,8,0
0.2750706,0.07918494,5920,7733,6.32516,0.1598056,0.2478089,-0.2473035,0.01581819,9.228065,-2.58613,2.60264,99.0,8,8,0
0.4366578,0.1285511,7852,7996,3.947223,0.04893271,0.04674023,-0.04635968,-0.005952248,4.527911,-0.0788624,-0.996796,99.0,8,8,0
0.1549824,0.3803672,6898,7274,6.38961,0.1524536,0.04921553,-0.03697377,-0.03248243,8.714723,0.698279,1.72311,99.0,8,8,0
0.045539,0.1204558,3205,3676,35.52188,0.1980468,0.2018866,-0.1696793,-0.1093943,2.036395,0.0209497,-0.403984,99.0,2,6,0
0.2870871,0.243037,7057,7753,9.58197,0.1586338,0.08014769,0.02636134,-0.07568839,6.046879,-1.84751,-1.89598,99.0,8,7,0
0.106938,0.5097406,4178,6650,63.43177,0.6077456,0.1463997,-0.04140482,-0.1404226,3.499494,-0.333421,0.0152636,99.0,8,6,0
0.1017826,0.4299963,5514,6533,32.17642,0.3147113,0.08987011,0.08608807,-0.02579692,3.57244,-6.78536,-2.98654,99.0,8,8,0
0.5497339,0.8108601,7817,7947,3.582351,0.117769,0.01783416,0.01769311,0.002238492,12.00751,-10.2828,-3.23354,99.0,8,8,0
0.3790251,0.2216849,7619,7912,4.23746,0.09372218,0.05191272,0.03250799,-0.0404742,8.078431,-6.26463,-5.52467,99.0,8,8,0
0.5087979,0.6460947,6900,7999,25.01461,0.323674,0.06151474,0.03682254,0.0492764,4.726115,-8.49509,0.541183,99.0,8,8,0
0.1816991,0.2952133,6384,7450,92.86842,0.2321898,0.09657722,0.04887579,0.08329656,0.9131985,-2.23177,-0.0689418,99.0,8,6,0
0.07950854,0.2273558,4340,5688,34.35529,0.3179834,0.1717378,0.05171959,0.163765,3.380657,-2.51664,0.885485,99.0,8,6,0
0.2999919,0.1765911,7577,7799,8.142919,0.07343469,0.05106225,0.05063479,-0.006593286,3.293907,-7.70734,-3.40532,99.0,8,8,0
0.7201062,1.03726,5949,7535,17.5637,0.5466913,0.06471754,0.06428138,0.007500942,11.36885,-14.2583,-1.46131,99.0,8,8,0
0.2264563,0.7174135,6912,7608,27.629,0.2781345,0.04760503,0.04730578,-0.005329381,3.676883,-6.28532,-0.477893,99.0,8,8,0
0.3790251,0.04900414,4717,7917,17.2735,0.1849257,0.4633743,0.1990745,-0.4184317,3.910272,-1.04175,-2.24663,99.0,8,4,0
0.2186629,0.3254739,6604,7599,14.66001,0.2292248,0.08647947,0.08495699,0.01615579,5.711072,-8.57274,-3.3618,99.0,8,8,0
0.2750706,0.579015,7521,7734,11.70172,0.1315365,0.02789485,-0.02120874,0.01811938,4.105695,-4.61452,2.69358,99.0,8,8,0
0.5016507,0.06262358,6753,7945,2.394029,0.106462,0.2087489,0.1869914,0.09279185,16.24259,-15.3134,-2.83188,99.0,8,8,0
0.04934146,0.7006269,2736,3914,67.22353,0.7921938,0.1388392,0.06469464,0.1228452,4.304279,-0.808325,1.15095,99.0,5,5,0
0.02587632,1.616085,2046,2547,120.4375,1.125338,0.08550398,-0.05735738,-0.06341184,3.412805,2.85055,-1.73784,99.0,6,1,0
0.4366578,0.07659395,7359,7994,2.382131,0.08206469,0.1315617,0.1287393,-0.02710471,12.58291,-16.7753,-4.83737,99.0,8,8,0
0.03039641,1.117821,1347,2809,120.47,1.875753,0.2060493,0.1598503,0.1300162,5.687049,-3.39348,-0.415348,99.0,2,5,0
0.3444618,0.1011474,3606,7871,13.70245,0.3518214,0.4271056,0.3344174,0.2656769,9.378089,-9.33039,-0.01985,99.0,8,4,0
0.4366578,0.08658829,7616,7998,4.38959,0.06651062,0.09431905,0.05710489,-0.07506741,5.534231,-7.80632,-6.54509,99.0,8,8,0
0.1500457,0.05195981,4248,7227,7.528656,0.2026144,0.4788177,0.2791718,-0.3890109,9.829761,-2.52973,-5.04178,99.0,8,7,0
0.3444618,0.1163715,7676,7858,3.634401,0.05357839,0.05653412,0.04423815,-0.03520075,5.38452,-3.25007,-4.19235,99.0,8,8,0
0.6339553,0.4181058,6007,7695,10.48449,0.3526181,0.1035586,0.08665593,0.0567021,12.28422,-13.651,0.971141,99.0,8,8,0
0.1816991,0.6955869,6981,7447,16.8517,0.22546,0.03980024,0.03282146,0.02251246,4.886705,-7.37678,0.684913,99.0,8,8,0
0.3286485,0.8951383,7549,7835,17.47987,0.1877747,0.02575814,0.02574904,0.0006849048,3.923641,-8.28948,-1.36961,99.0,8,8,0
0.1680135,0.8359133,1041,7353,87.56059,2.36948,0.3480643,-0.3419687,-0.06485472,9.884043,-6.51857,-0.695154,99.0,8,6,0
0.397631,0.1367673,7614,7945,3.686563,0.07808794,0.07010825,-0.04787981,-0.05121221,7.736642,-6.44866,-0.582005,99.0,8,8,0
0.2264563,0.0564378,5768,7613,13.76834,0.1389714,0.3023591,0.08835952,0.2891602,3.686669,-2.76461,2.08367,99.0,8,4,0
0.3612689,0.4240167,7775,7899,3.156735,0.08364456,0.02422269,-0.0240393,-0.002974997,9.678095,-3.62728,-1.51121,99.0,8,8,0
0.01322284,0.1681142,652,1597,37.11544,1.114716,0.814193,-0.7986783,0.1581875,10.96983,-3.759,0.904611,99.0,4,6,0
0.3286485,0.6137665,7560,7827,12.26414,0.1502692,0.03006315,-0.02900131,-0.007919418,4.47531,-1.38932,-1.24767,99.0,8,8,0
0.4365563,1.011087,3217,7738,56.98706,1.222873,0.1485115,0.06970887,0.1311348,7.837818,-8.33968,3.50176,99.0,8,2,0
0.2438214,0.1081799,7522,7656,1.339154,0.0454269,0.05156252,0.02152775,0.04685349,12.39004,-14.2869,4.87577,99.0,8,8,0
0.2870871,0.3739051,2899,7758,47.40516,0.81101,0.2663375,0.2044085,-0.170742,6.248716,-3.55035,-2.14901,99.0,8,4,0
0.2870871,0.5266628,7202,7764,21.1475,0.2076763,0.04841968,0.04841951,0.0001291467,3.586892,-2.82674,-2.09117,99.0,8,6,0
0.3444618,0.6149357,7720,7853,6.398468,0.1048873,0.02094405,0.02082457,0.002233915,5.987383,-9.67408,-1.68909,99.0,8,8,0
0.1983071,0.632882,6699,7521,24.2848,0.2898797,0.05624225,0.04546816,0.03310344,4.359871,-4.48343,1.12265,99.0,8,8,0
0.4366578,0.111669,3696,7977,14.43587,0.3633714,0.3995635,0.3013652,0.2623548,9.193862,-8.50911,0.989408,99.0,8,4,0
0.1092597,0.9307278,2592,6722,156.0293,1.340369,0.1768353,0.1664453,0.05972188,3.137678,-3.40688,-0.903694,99.0,8,0,0
0.3138328,0.2529765,4489,7822,29.16959,0.4422636,0.2146686,0.1750247,0.1242938,5.53785,-9.21804,0.598837,99.0,8,5,0
0.397631,0.6248077,7706,7949,17.49766,0.1420084,0.02790842,0.02789149,-0.0009717777,2.964315,-6.16335,-2.61241,99.0,8,8,0
0.2750706,0.6165308,7605,7740,20.39281,0.1072514,0.02136072,-0.01897733,-0.00980517,1.920951,-9.39,0.497526,99.0,8,8,0
0.8527195,0.7527653,6544,7792,13.21195,0.3873659,0.06318724,0.06196699,-0.01235799,10.70889,-10.7823,-5.71855,99.0,8,8,0
0.397631,0.3035957,2791,7926,31.16913,0.7576151,0.3064224,0.2498434,0.1774063,8.877981,-10.6809,0.366963,99.0,8,5,0
0.2510449,0.8361067,6575,7504,25.59761,0.3581467,0.05259771,0.05084195,0.01347647,5.110363,-10.42,-1.07023,99.0,8,8,0
0.2438214,0.5931067,6278,7668,39.83584,0.3734384,0.0773132,-0.0249096,-0.07319045,3.424011,-2.78166,0.766778,99.0,8,8,0
0.4656566,0.4195082,6855,7824,11.42762,0.2484968,0.07273574,-0.05083824,-0.05201886,7.942466,0.105532,-0.601342,99.0,8,8,0
0.2750706,0.5323088,4512,7735,52.42971,0.6326709,0.1459425,0.1303683,0.06559971,4.407483,-6.14057,-0.197476,99.0,9,4,0
0.3612689,0.1044982,6813,7898,7.552022,0.1310052,0.1539385,-0.09387855,-0.1219995,6.336007,-4.23504,-0.90496,99.0,8,8,0
0.4169149,0.01193054,7376,7957,0.7602994,0.03102876,0.3193536,-0.1941247,-0.253579,14.90631,2.16657,-3.80725,99.0,8,8,0
0.397631,0.08761097,7754,7943,1.573744,0.04686032,0.06567715,-0.03655727,0.05456239,10.87581,-3.99197,7.62697,99.0,8,8,0
0.2348265,0.09394813,7321,7639,2.443945,0.0660318,0.08630433,-0.08472572,-0.01643136,9.868517,-5.33534,1.2745,99.0,8,8,0
0.1816991,0.2715743,7030,7428,36.48124,0.1298102,0.05869317,0.02803536,0.05156459,1.299659,-8.76597,-0.788265,99.0,8,8,0
0.115881,0.2408384,1984,6834,53.94867,0.8377499,0.4271262,0.3901859,0.1737578,5.671839,-5.48734,1.53571,99.0,8,6,0
0.1923998,0.2703314,6872,7500,18.60908,0.163779,0.07439255,0.04904586,0.05593527,3.214575,-7.15999,-0.84464,99.0,8,8,0
0.2870871,0.04781716,6962,7752,1.74374,0.07549628,0.1938694,0.1906741,-0.03505353,15.81372,-9.52703,-7.33679,99.0,8,8,0
0.1768474,0.5517648,6650,7425,24.56598,0.265498,0.05908467,-0.004147505,-0.05893892,3.947456,-4.89479,1.06522,99.0,8,8,0
0.3612689,0.7276296,7817,7878,2.657612,0.07639812,0.01289258,-0.006843601,-0.01092629,10.49981,-3.13614,-3.24057,99.0,8,8,0
